period,total_nacional,andalucia,aragon,asturias_principado_de,balears_illes,canarias,cantabria,castilla_la_mancha,castilla_y_leon,cataluna,ceuta,comunitat_valenciana,extremadura,galicia,madrid_comunidad_de,melilla,murcia_region_de,navarra_comunidad_foral_de,pais_vasco,rioja_la
2021M06,37961,7853,NA,623,852,1084,721,1608,1529,NA,17,4047,562,971,7372,51,1136,459,1782,175
2021M05,35225,6746,912,709,768,NA,NA,1326,NA,6177,29,4038,786,1225,5625,55,NA,517,1873,209
2021M04,31909,6327,748,525,677,861,435,1135,1218,5343,28,3701,685,NA,NA,43,NA,353,1505,214
2021M03,36886,6941,775,615,775,1091,569,1475,1305,6580,19,NA,581,1433,6881,20,1088,474,1734,203
2021M02,31647,6227,943,585,743,831,431,NA,1276,5051,28,3600,610,1146,5489,73,NA,425,1657,215
2021M01,27518,5591,792,555,643,NA,390,NA,1183,4690,7,2899,607,NA,4349,42,692,458,1426,NA
2020M12,26128,4933,862,448,505,NA,NA,1071,1095,4336,6,2837,551,1079,4682,NA,563,280,1555,123
2020M11,28756,NA,860,523,644,876,324,NA,NA,4711,5,3401,526,NA,5087,43,740,353,1729,197
2020M10,28248,5697,NA,492,964,800,279,NA,1226,4091,21,3119,NA,855,5504,22,758,332,1451,179
2020M09,26878,5030,756,NA,823,1095,338,1095,NA,3968,17,2867,555,1050,5077,38,808,NA,NA,NA
2020M08,19825,3689,633,419,504,NA,279,981,963,2787,5,NA,413,790,3059,19,NA,286,1125,174
2020M07,26014,4598,721,511,751,1221,248,NA,934,4400,13,3341,512,743,3833,14,713,217,2185,202
2020M06,26890,4713,657,572,728,824,365,862,1117,4316,NA,2458,548,NA,5045,26,743,NA,NA,134
2020M05,25630,4818,702,346,758,1259,334,677,NA,4311,88,2968,314,NA,NA,37,500,295,1281,124
2020M04,24155,5571,551,453,628,669,190,570,839,4322,11,2861,334,842,3974,16,680,NA,1236,180
2020M03,27300,NA,809,NA,NA,962,353,1006,962,4985,30,3024,442,799,4749,26,764,NA,1273,254
2020M02,36702,6864,NA,694,1022,998,418,1351,1491,6437,8,4221,627,1069,6820,23,961,NA,1772,176
2020M01,40217,NA,985,1112,1496,NA,412,1572,1891,5584,48,4219,685,1421,8660,NA,957,723,1628,238
Notas:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los datos son provisionales desde junio de 2020 .,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuente: Instituto Nacional de Estadística,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
